Name,Status,Province,Population
Accarapisco,Locality,Azangaro,261
Accaso,Locality,El Collao,377
Accopata,Locality,Puno,213
Achaya,Main Locality,Azangaro,80
Ácora,Urban Main Locality,Puno,"3,310"
Ajanani Grande,Locality,Azangaro,264
Ajoyani,Main Locality,Carabaya,"1,520"
Almosanchi,Locality,Puno,276
Alpacani,Locality,Azangaro,309
Alto Furuncha,Locality,Azangaro,360
Alto Queneque,Locality,Sandia,267
Amantaní,Main Locality,Puno,420
Amaquilla,Locality,Yunguyo,244
Amaya Samahue,Locality,Chucuito,228
Amoyo,Locality,Sandia,341
Ananea,Urban Main Locality,San Antonio de Putina,"1,821"
Anapia,Main Locality,Yunguyo,"1,240"
Anccacca,Locality,Puno,203
Ancoamaya,Locality,El Collao,210
Angel Carata,Locality,Puno,215
Año Callejon,Locality,Puno,237
Anta - Sacasco,Locality,Huancané,509
Antauta,Urban Main Locality,Melgar,"2,991"
Apabuco,Locality,Sandia,311
Aracachi Chiaraqui,Locality,Chucuito,325
Arapa,Main Locality,Azangaro,"1,567"
Arcopunco,Locality,Azangaro,372
Asillo,Urban Main Locality,Azangaro,"3,401"
Atuncolla,Main Locality,Puno,349
Ayagachi Segunda Seccion,Locality,San Román,363
Ayapata,Urban Main Locality,Carabaya,"2,594"
Ayaviri,Urban Main Locality,Melgar,"22,247"
Aymaña,Urban Locality,Carabaya,"1,000"
Aynacha,Locality,Yunguyo,207
Ayrampuni,Main Locality,San Antonio de Putina,289
Ayrumas Carumas,Locality,Puno,231
Ayusuma,Locality,Carabaya,228
Azangaro,Urban Main Locality,Azangaro,"20,887"
Aziruni Andamarca,Locality,San Antonio de Putina,209
Bajo Vilcallamas,Locality,Chucuito,268
Barco,Locality,Puno,215
Batalla,Locality,Chucuito,224
Belen (Cullco Belen),Locality,Azangaro,245
Buena Vista,Locality,Carabaya,234
Buenavista Chacachaca,Urban Locality,Chucuito,386
Cabana,Main Locality,San Román,"1,007"
Cabanilla,Main Locality,Lampa,"1,196"
Cachi,Locality,El Collao,211
Caijano Pata,Locality,Puno,266
Calapampa,Locality,Azangaro,462
Calapuja,Main Locality,Lampa,506
Callacami Aychuyo,Locality,Yunguyo,348
Callachoco,Locality,El Collao,299
Callaza Estancia,Locality,Chucuito,273
Camacani,Locality,Puno,667
Camaqueni,Locality,Chucuito,292
Camata,Locality,Puno,377
Caminaca,Main Locality,Azangaro,137
Caminocolla,Locality,Azangaro,317
Campamento,Locality,Carabaya,222
Canchi Huañingora,Locality,San Román,222
Cancolla Macha,Locality,Azangaro,304
Cangalli Achatuyo,Locality,El Collao,209
Cañicuto Villahermosa,Locality,Azangaro,300
Canu Canu,Locality,Sandia,466
Capachica,Main Locality,Puno,961
Capazo,Main Locality,El Collao,115
Cara Cara,Locality,Lampa,308
Caracoto,Main Locality,San Román,"1,197"
Carancani,Locality,Chucuito,240
Caritamaya,Locality,Puno,338
Carlos Gutierrez Alzamora,Urban Locality,Azangaro,"1,383"
Caspa Central,Locality,Chucuito,277
Catacha,Locality,Lampa,202
Catallia (III Sector),Locality,Huancané,313
Caxili,Locality,Carabaya,261
Cayacaya,Locality,San Antonio de Putina,270
Ccacca,Locality,Puno,279
Ccaccachi,Locality,San Román,431
Ccaccata,Locality,El Collao,203
Ccapacorcco,Locality,Sandia,402
Ccapalla,Locality,Puno,391
Ccapuna,Locality,Sandia,691
Ccopani (Central),Locality,Yunguyo,243
Ccorpa,Locality,Huancané,320
Ccota,Locality,Puno,682
Ccotos Sucsan San Salvador,Locality,Puno,255
Central Aychuyo,Locality,Yunguyo,381
Central Esquen,Locality,San Román,"1,581"
Central Huayta Sector 1,Locality,Lampa,501
Central Patani,Locality,Chucuito,305
Central Queneque,Locality,Sandia,295
Central Suyo,Locality,Puno,268
Centro Jaran,Locality,San Román,527
Centro Pucara,Locality,Puno,282
Cerro Lunar de Oro,Urban Locality,San Antonio de Putina,"2,011"
Chacaneque,Locality,Carabaya,312
Chachacumani,Locality,Chucuito,379
Chacomoco,Locality,Puno,345
Challacollo,Locality,Chucuito,340
Challapampa,Locality,Chucuito,378
Challhuamayo,Locality,Carabaya,457
Chanchilla,Locality,Puno,366
Chañocahua Central,Locality,Lampa,315
Chañocahua Joven,Locality,Lampa,248
Charamaya,Locality,Puno,247
Chasqui,Locality,El Collao,212
Chaullacamani,Locality,El Collao,223
Chaullani,Locality,San Román,316
Chejachi,Locality,Azangaro,286
Chejani,Locality,Sandia,378
